"ocrSubjNumR","ocrRepNo"
"1.1","NACA-TR-900"
"1.1","NACA-TR-959"
"1.1","NACA-TR-961"
"1.1","NACA-TR-986"
"1.1","NACA-TN-2044"
"1.1","NACA-TN-2062"
"1.1","NACA-TM-1270"
"1.1","NACA-TN-2130"
"1.1","NACA-TN-2135"
"1.1","NACA-TN-2249"
"1.1","NACA-TN-2200"
"1.1.1","NACA-TR-879"
"1.1.1","NACA-TM-1228"
"1.1.1","NACA-TN-1958"
"1.1.1","NACA-TN-2095"
"1.1.1","NACA-TN-2101"
"1.1.1","NACA-TN-2121"
"1.1.2","NACA-TR-876"
"1.1.2","NACA-TR-888"
"1.1.2","NACA-TR-890"
"1.1.2","NACA-RM-L9F28"
"1.1.2","NACA-TN-1947"
"1.1.2","NACA-TN-1958"
"1.1.2","NACA-TM-1243"
"1.1.2","NACA-TM-1244"
"1.1.2","NACA-TR-956"
"1.1.2","NACA-TR-958"
"1.1.2","NACA-TR-961"
"1.1.2","NACA-TR-962"
"1.1.2","NACA-TN-2045"
"1.1.2","NACA-TN-2067"
"1.1.2","NACA-TM-1251"
"1.1.2","NACA-TM-1252"
"1.1.2","NACA-TM-1260"
"1.1.2","NACA-TN-2120"
"1.1.2","NACA-TN-2130"
"1.1.2","NACA-TN-2159"
"1.1.2","NACA-TN-2165"
"1.1.2","NACA-TN-2186"
"1.1.2","NACA-TN-2193"
"1.1.2","NACA-TN-2196"
"1.1.2","NACA-TN-2215"
"1.1.2","NACA-TN-2244"
"1.1.2","NACA-TN-2256"
"1.1.2","NACA-TN-2326"
"1.1.2","NACA-TN-2296"
"1.1.2","NACA-TN-2279"
"1.1.2","NACA-TN-2334"
"1.1.2","NACA-TN-2337"
"1.1.2","NACA-TN-2328"
"1.1.2","NACA-TM-1283"
"1.1.2","NACA-TM-1298"
"1.1.2","NACA-TN-2356"
"1.1.2","NACA-TN-2364"
"1.1.2","NACA-TN-2371"
"1.1.2.1","NACA-TR-894"
"1.1.2.1","NACA-TR-901"
"1.1.2.1","NACA-TR-902"
"1.1.2.1","NACA-RM-L9F28"
"1.1.2.1","NACA-TR-978"
"1.1.2.1","NACA-TR-995"
"1.1.2.1","NACA-TR-1002"
"1.1.2.1","NACA-TN-2056"
"1.1.2.1","NACA-TN-2057"
"1.1.2.1","NACA-TN-2067"
"1.1.2.1","NACA-TN-2065"
"1.1.2.1","NACA-TM-1259"
"1.1.2.1","NACA-TN-2130"
"1.1.2.1","NACA-TN-2140"
"1.1.2.1","NACA-TM-1250"
"1.1.2.1","NACA-TN-2159"
"1.1.2.1","NACA-TN-2174"
"1.1.2.1","NACA-TN-2189"
"1.1.2.1","NACA-TN-2251"
"1.1.2.1","NACA-TN-2253"
"1.1.2.1","NACA-TN-2278"
"1.1.2.1","NACA-TN-2274"
"1.1.2.1","NACA-TN-2281"
"1.1.2.1","NACA-TN-2303"
"1.1.2.1","NACA-TN-2344"
"1.1.2.1","NACA-TN-2350"
"1.1.2.1","NACA-TN-2363"
"1.1.2.1","NACA-TN-2383"
"1.1.2.2","NACA-TR-875"
"1.1.2.2","NACA-TR-894"
"1.1.2.2","NACA-RM-L8C22"
"1.1.2.2","NACA-TR-922"
"1.1.2.2","NACA-RM-L9F28"
"1.1.2.2","NACA-TN-2000"
"1.1.2.2","NACA-TM-1251"
"1.1.2.2","NACA-TM-1252"
"1.1.2.2","NACA-TN-2058"
"1.1.2.2","NACA-TN-2065"
"1.1.2.2","NACA-TM-1260"
"1.1.2.2","NACA-TN-2130"
"1.1.2.2","NACA-TN-2173"
"1.1.2.2","NACA-TN-2174"
"1.1.2.2","NACA-TN-2191"
"1.1.2.2","NACA-RM-E50H04"
"1.1.2.2","NACA-TM-1288"
"1.1.2.2","NACA-TN-2239"
"1.1.2.2","NACA-TN-2245"
"1.1.2.2","NACA-TN-2273"
"1.1.2.2","NACA-TN-2334"
"1.1.2.2","NACA-TN-2339"
"1.1.2.2","NACA-TN-2364"
"1.1.2.2","NACA-TN-2383"
"1.1.2.3","NACA-TR-889"
"1.1.2.3","NACA-RM-A7A31a"
"1.1.2.3","NACA-TR-900"
"1.1.2.3","NACA-TR-907"
"1.1.2.3","NACA-TR-908"
"1.1.2.3","NACA-RM-E7L10"
"1.1.2.3","NACA-RM-L8G27"
"1.1.2.3","NACA-TR-945"
"1.1.2.3","NACA-TM-1242"
"1.1.2.3","NACA-TN-1943"
"1.1.2.3","NACA-TR-872"
"1.1.2.3","NACA-TM-1239"
"1.1.2.3","NACA-TM-1245"
"1.1.2.3","NACA-TM-1243"
"1.1.2.3","NACA-TM-1244"
"1.1.2.3","NACA-TR-951"
"1.1.2.3","NACA-TR-963"
"1.1.2.3","NACA-TR-974"
"1.1.2.3","NACA-TR-983"
"1.1.2.3","NACA-TN-1685"
"1.1.2.3","NACA-TN-2000"
"1.1.2.3","NACA-TN-2034"
"1.1.2.3","NACA-TN-2042"
"1.1.2.3","NACA-TN-2055"
"1.1.2.3","NACA-TM-1257"
"1.1.2.3","NACA-TN-2040"
"1.1.2.3","NACA-TN-2065"
"1.1.2.3","NACA-TN-2114"
"1.1.2.3","NACA-TN-2100"
"1.1.2.3","NACA-TN-2115"
"1.1.2.3","NACA-TN-2116"
"1.1.2.3","NACA-TN-2125"
"1.1.2.3","NACA-TN-2135"
"1.1.2.3","NACA-TN-2137"
"1.1.2.3","NACA-TN-2141"
"1.1.2.3","NACA-TN-2145"
"1.1.2.3","NACA-TN-2146"
"1.1.2.3","NACA-TN-2147"
"1.1.2.3","NACA-TN-2159"
