"ocrSubjNumR","ocrRepNo"
"1.1","NACA-RM-A9I26"
"1.1","NACA-TR-1048."
"1.1","NACA-TN-2044"
"1.1","NACA-TN-2443"
"1.1","NACA-TN-2501"
"1.1","NACA-TN-2465"
"1.1","NACA-TN-2473"
"1.1","NACA-TN-2533"
"1.1","NACA-TN-2537"
"1.1","NACA-TR-1081 NACA-TN-2200"
"1.1","NACA-TN-2630"
"1.1","NACA-TN-2674"
"1.1","NACA-TN-2641"
"1.1","NACA-TN-2797"
"1.1","NACA-TN-2811"
"1.1","NACA-TR-1014."
"1.1","NACA-TN-2121 NACA-RM-L8H30"
"1.1","NACA-TR-1030."
"1.1","NACA-TN-2133"
"1.1","NACA-TN-2393"
"1.1","NACA-TM-1293.Trans.from"
"1.1","NACA-TN-2461"
"1.1","NACA-TN-2478"
"1.1","NACA-TM-1303."
"1.1","NACA-TM-1304."
"1.1","NACA-TN-2451"
"1.1","NACA-TN-2541"
"1.1","NACA-TM-1326.Trans.from"
"1.1","NACA-TM-1327.Trans.fromZentrale"
"1.1","NACA-TN-2567"
"1.1","NACA-TN-2593"
"1.1","NACA-TN-2595"
"1.1","NACA-RM-E51K07"
"1.1","NACA-TM-1325.Trans.from"
"1.1","NACA-TM-1328.Transfrom"
"1.1","NACA-TM-1329"
"1.1","NACA-TN-2710"
"1.1","NACA-TM-1334.Trans."
"1.1","NACA-TN-2656"
"1.1","NACA-TN-2749"
"1.1","NACA-TN-2854"
"1.1","NACA-TM-1342.Trans.fromDeutscheMathematiker-"
"1.1","NACA-TN-2903"
"1.1","NACA-TN-2912"
"1.1.2","NACA-RM-E9I21"
"1.1.2","NACA-RM-L9H10"
"1.1.2","NACA-RM-L9L09"
"1.1.2","NACA-TR-1032.NACA-TN-2244"
"1.1.2","NACA-TR-1039."
"1.1.2","NACA-TN-2159"
"1.1.2","NACA-TN-2164"
"1.1.2","NACA-TN-2403"
"1.1.2","NACA-TN-2407"
"1.1.2","NACA-TN-2432"
"1.1.2","NACA-TN-2436"
"1.1.2","NACAfN2437"
"1.1.2","NACA-TN-2441"
"1.1.2","NACA-TM-1274.Trans."
"1.1.2","NACA-TM-1303."
"1.1.2","NACA-TM-1304."
"1.1.2","NACA-TN-2501"
"1.1.2","NACA-TN-2506"
"1.1.2","NACA-TN-2511"
"1.1.2","NACA-TN-2531"
"1.1.2","NACA-TN-2542"
"1.1.2","NACA-TN-2543"
"1.1.2","NACA-TR-1082."
"1.1.2","NACA-TN-2165"
"1.1.2","NACA-TR-1093."
"1.1.2","NACA-TN-2438"
"1.1.2","NACA-TR-1100 NACA-TN-2334"
"1.1.2","NACA-TN-2567"
"1.1.2","NACA-TN-2582"
"1.1.2","NACA-TN-2590"
"1.1.2","NACA-TN-2597"
"1.1.2","NACA-TN-2604"
"1.1.2","NACA-TN-2610"
"1.1.2","NACA-TN-2519."
"1.1.2","NACA-TN-2649"
"1.1.2","NACA-TN-2655"
"1.1.2","NACA-TN-2666"
"1.1.2","NACA-TN-2681"
"1.1.2","NACA-TN-2700"
"1.1.2","NACA-TN-2702"
"1.1.2","NACA-TN-2718"
"1.1.2","NACA-TN-2726"
"1.1.2","NACA-TM-1332."
"1.1.2","NACA-TN-2750"
"1.1.2","NACA-TN-2749"
"1.1.2","NACA-TN-2773"
"1.1.2","NACA-TN-2784"
"1.1.2","NACA-TN-2794"
"1.1.2","NACA-TN-2818"
"1.1.2","NACA-TN-2839"
"1.1.2","NACA-TN-2879"
"1.1.2","NACA-TN-2887"
"1.1.2","NACA-TN-2885"
"1.1.2","NACA-TN-2918"
"1.1.2","NACA-TN-2919 NACA-RM-A8E17"
"1.1.2","NACA-TN-2922"
"1.1.2.1","NACA-TR-1002."
"1.1.2.1","NACA-TN-1953"
"1.1.2.1","NACA-RM-L9K10"
"1.1.2.1","NACA-RM-L50C02a"
"1.1.2.1","NACA-TR-1039."
"1.1.2.1","NACA-TN-2159"
"1.1.2.1","NACA-TR-1056."
"1.1.2.1","NACA-TN-2140"
"1.1.2.1","NACA-TN-2461"
"1.1.2.1","NACA-TM-1274.Trans."
"1.1.2.1","NACA-TN-2511"
"1.1.2.1","NACA-TR-1060."
"1.1.2.1","NACA-TN-2281"
"1.1.2.1","NACA-TR-1069."
"1.1.2.1","NACA-TN-2383"
"1.1.2.1","NACA-TR-1071."
"1.1.2.1","NACA-TN-2278"
"1.1.2.1","NACA-TN-2567"
"1.1.2.1","NACA-TN-2591 NACA-RM-L7H12"
"1.1.2.1","NACA-TN-2593"
"1.1.2.1","NACA-TN-2595"
"1.1.2.1","NACA-TN-2519."
"1.1.2.1","NACA-TM-1300.Trans.fromZentralefurwissen-"
"1.1.2.1","NACA-TN-2484 NACA-RM-L6K12b"
"1.1.2.1","NACA-TN-2730"
"1.1.2.1","NACA-TN-2741.For-"
"1.1.2.1","merlyRM-L7H15"
"1.1.2.1","NACA-TN-2748"
"1.1.2.1","NACA-TN-2753"
"1.1.2.1","NACA-TN-2825"
"1.1.2.1","NACA-TN-2871"
"1.1.2.1","NACA-TN-2892"
"1.1.2.1","NACA-TN-2903"
"1.1.2.1","NACA-TN-2909"
"1.1.2.1","NACA-TN-2913"
"1.1.2.1","NACA-TN-2942"
"1.1.2.2","NACA-RM-L8A23"
"1.1.2.2","NACA-RM-L9G19"
"1.1.2.2","NACA-RM-E9L21"
"1.1.2.2","NACA-RM-L50E18"
"1.1.2.2","NACA-TN-2411"
"1.1.2.2","NACA-RM-A51G09"
"1.1.2.2","NACA-TN-2506"
"1.1.2.2","NACA-TN-2527"
"1.1.2.2","NACA-TN-2539"
"1.1.2.2","NACA-TN-2547"
"1.1.2.2","NACA-TN-2560"
"1.1.2.2","NACA-TR-1069."
"1.1.2.2","NACA-TN-2383"
"1.1.2.2","NACA-TR-1095 NACA-TN-2339 NACA-TN-2588"
"1.1.2.2","NACA-TR-1100 NACA-TN-2334"
"1.1.2.2","NACA-TN-2519."
"1.1.2.2","NACA-TN-2667"
"1.1.2.2","NACA-TN-2484 NACA-RM-L6K12b"
"1.1.2.2","NACA-TN-2687"
"1.1.2.2","NACA-TN-2712"
"1.1.2.2","NACA-TN-2724"
"1.1.2.2","NACA-TN-2720.NACA-RM-L8G23"
"1.1.2.2","NACA-TN-2748"
"1.1.2.2","NACA-TN-2765"
"1.1.2.2","NACA-TN-2797"
"1.1.2.2","NACA-TN-2801"
"1.1.2.2","NACA-TN-2825"
"1.1.2.2","NACA-TN-2829"
"1.1.2.2","NACA-TN-2832"
"1.1.2.2","NACA-TN-2868"
"1.1.2.2","NACA-TN-2869"
"1.1.2.2","NACA-TN-2910"
"1.1.2.3","NACA-RM-L8I02"
"1.1.2.3","NACA-RM-E8K05"
"1.1.2.3","NACA-RM-E8G01"
"1.1.2.3","NACA-RM-L9G06"
"1.1.2.3","NACA-RM-L9G07"
"1.1.2.3","NACA-RM-L9G13"
"1.1.2.3","NACA-RM-E50B02"
"1.1.2.3","NACA-RM-L50F21a"
"1.1.2.3","NACA-RM-L50G05"
"1.1.2.3","NACA-RM-L50I13"
"1.1.2.3","NACA-TR-1004.Former-"
"1.1.2.3","ly-TN-2145"
"1.1.2.3","NACA-TR-1032.NAGA-TN-2244"
"1.1.2.3","NACA-TR-1033 NACA-TN-2100"
"1.1.2.3","NACA-TR-1039."
"1.1.2.3","NACA-TN-2159"
"1.1.2.3","NACA-TR-1044 NACA-TN-1809"
"1.1.2.3","NACA-TR-1045."
"1.1.2.3","NACA-TN-2236"
"1.1.2.3","NACA-TR-1050"
"1.1.2.3","NACA-TR-1051 NACA-TN-2137"
"1.1.2.3","NACA-TN-2411"
"1.1.2.3","NACA-TN-2418"
"1.1.2.3","NACA-TN-2443"
"1.1.2.3","NACA-TN-2412"
"1.1.2.3","NACA-TN-2492"
"1.1.2.3","NACA-TN-2497"
"1.1.2.3","NACA-TM-1274.Trans."
"1.1.2.3","NACA-TN-2467"
"1.1.2.3","NACA-TN-2499"
"1.1.2.3","NACA-TN-2505"
"1.1.2.3","NACA-TN-2515"
"1.1.2.3","NACA-TN-2521"
"1.1.2.3","NACA-TN-2535"
"1.1.2.3","NACA-TN-2550"
"1.1.2.3","NACA-TN-2559"
"1.1.2.3","NACA-TN-2560"
"1.1.2.3","NACA-TN-2518."
"1.1.2.3","NACA-TN-2579"
"1.1.2.3","NACA-TR-1063 NACA-TN-2264"
"1.1.2.3","NACA-TR-1081 NACA-TN-2200"
"1.1.2.3","NACA-TR-1083."
"1.1.2.3","NACA-TN-2388"
"1.1.2.3","NACA-TR-1093."
"1.1.2.3","NACA-TN-2438"
"1.1.2.3","NACA-TR-1100 NACA-TN-2334"
"1.1.2.3","NACA-TN-2592"
"1.1.2.3","NACA-TN-2609"
"1.1.2.3","NACA-TN-2616"
"1.1.2.3","NACA-TN-2619"
"1.1.2.3","NACA-TN-2623"
"1.1.2.3","NACA-TN-2631"
"1.1.2.3","NACA-TM-1333.Trans.from"
"1.1.2.3","NACA-TN-2646"
"1.1.2.3","NACA-TN-2651"
"1.1.2.3","NACA-TN-2669"
"1.1.2.3","NACA-TN-2677"
"1.1.2.3","NACA-TN-2688"
"1.1.2.3","NACA-TN-2690"
"1.1.2.3","NACA-RM-L52B06"
"1.1.2.3","NACA-TN-2692"
"1.1.2.3","NACA-TN-2641"
"1.1.2.3","NACA-TN-2705"
"1.1.2.3","NACA-TN-2712"
"1.1.2.3","NACA-TN-2723"
"1.1.2.3","NACA-TN-2725"
"1.1.2.3","NACA-TN-2729"
"1.1.2.3","NACA-RM-E52D03"
"1.1.2.3","NACA-TN-2643"
"1.1.2.3","NACA-TN-2715"
"1.1.2.3","NACA-TN-2740"
"1.1.2.3","NACA-TN-2742"
"1.1.2.3","NACA-TN-2744"
"1.1.2.3","NACA-RM-E52E19"
"1.1.2.3","NACA-TN-2764"
"1.1.2.3","NACA-TN-2768"
"1.1.2.3","STUDYOFTHEPRESSURERISEACROSSSHOCK"
"1.1.2.3","NACA-TN-2770."
"1.1.2.3","NACA-TN-2773"
"1.1.2.3","NACA-TN-2787"
"1.1.2.3","NACA-TN-2811"
"1.1.2.3","NACA-TN-2828"
"1.1.2.3","NACA-TN-2837"
"1.1.2.3","NACA-TN-2831"
"1.1.2.3","NACA-TN-2849"
"1.1.2.3","NACA-TN-2858"
"1.1.2.3","NACA-TN-2860"
"1.1.2.3","NACA-TN-2864"
"1.1.2.3","NACA-TN-2868"
"1.1.2.3","NACA-TN-2869"
"1.1.2.3","NACA-TN-2871"
"1.1.2.3","NACA-TN-2891"
"1.1.2.3","NACA-TN-2892"
"1.1.2.3","NACA-TN-2895"
"1.1.2.3","NACA-TN-2898"
"1.1.2.3","NACA-TN-2909"
"1.1.2.3","NACA-TN-2916"
"1.1.2.3","NACARM-10RESEARCHMODEL"
"1.1.2.3","NACA-TN-2944"
"1.1.2.3","NACA-TN-2950"
"1.1.3","NACA-RM-A9I26"
"1.1.3","NACA-TR-1036.NACA-RM-A7A31a"
"1.1.3","NACA-TR-1048."
"1.1.3","NACA-TN-2044"
"1.1.3","NACA-TR-1055 NACA-RM-A8L28 NACA-TN-1975;"
"1.1.3","NACA-TN-2087 NACA-TN-2131 NACA-TN-2148"
"1.1.3","NACA-TN-2418"
"1.1.3","NACA-TN-2462"
"1.1.3","NACA-TN-2463"
"1.1.3","NACA-TN-2471"
"1.1.3","NACA-TM-1274.Trans."
"1.1.3","NACA-TM-1316.Trans.fromLeteckyVyzkumny"
"1.1.3","Ustav.Praha NACA-TR-2.1947"
"1.1.3","NACA-TN-2568"
"1.1.3","NACA-TR-1067 NACA-TN-2310"
"1.1.3","NACA-TR-1085 NACA-RM-E51H07"
"1.1.3","NACA-TR-1100 NACA-TN-2334"
"1.1.3","NACA-TN-2567"
"1.1.3","NACA-TN-2658"
"1.1.3","NACA-TN-2703"
"1.1.3","NACA-TN-2722"
"1.1.3","NACA-TN-2725"
"1.1.3","NACA-TM-1334.Trans."
"1.1.3","NACA-TN-2742"
"1.1.3","NACA-TN-2753"
"1.1.3","NACA-TN-2773"
"1.1.3","NACA-RM-E52H26"
"1.1.3","NACA-TM-1342.Trans.fromDeutscheMathematiker-"
"1.1.3","NACA-TN-2895"
"1.1.3","NACA-TN-2913"
"1.1.3","NACA-RM-E52L24a"
"1.1.3","NACA-TN-2947."
"1.1.3.1","NACA-RM-L8J29"
"1.1.3.1","NACA-TR-1025."
"1.1.3.1","NACA-TN-1905 NACA-TN-2112"
"1.1.3.1","NACA-TM-1291.Trans.from"
"1.1.3.1","NACA-TN-2406"
"1.1.3.1","NACA-TN-2410"
"1.1.3.1","NACA-TM-1293.Trans.from"
"1.1.3.1","UberdieStromungvonGaseninengenKanalen"
"1.1.3.1","NACA-TM-1301.Trans.from"
"1.1.3.1","NACA-TN-2479"
"1.1.3.1","NACA-TN-2499"
"1.1.3.1","NACA-TN-2521"
"1.1.3.1","NACA-TN-2531"
"1.1.3.1","NACA-TM-1315.Trans.from"
"1.1.3.1","NACA-TM-1308.Trans.from"
"1.1.3.1","actions NACA-TR-279.1936.p.3-18"
"1.1.3.1","NACA-TM-1316.Trans.fromLeteckyVyzkumny"
"1.1.3.1","Ustav.Praha NACA-TR-2.1947"
"1.1.3.1","NACA-TR-1100 NACA-TN-2334"
"1.1.3.1","NACA-TN-COMPRESSIBLEFLUIDSUSINGTHECROCCO"
"1.1.3.1","NACA-TN-2597"
"1.1.3.1","NACA-TN-2609"
"1.1.3.1","NACA-TN-2635"
"1.1.3.1","NACA-TN-2655"
"1.1.3.1","NACA-TN-2658"
"1.1.3.1","NACA-TM-1336.Trans.fromIngenieur-"
"1.1.3.1","NACA-TN-2644"
"1.1.3.1","NACA-TN-2686"
"1.1.3.1","NACA-TM-1317."
"1.1.3.1","NACA-TN-2723"
"1.1.3.1","NACA-TN-2740"
"1.1.3.1","NACA-TN-2752"
"1.1.3.1","NACA-TN-2765"
"1.1.3.1","STUDYOFTHEPRESSURERISEACROSSSHOCK"
"1.1.3.1","NACA-TN-2770."
"1.1.3.1","NACA-TN-2773"
"1.1.3.1","NACA-TN-2784"
"1.1.3.1","NACA-TN-2800"
"1.1.3.1","NACA-TM-1343.Trans.from"
"1.1.3.1","NACA-TM-1352.TransfromSocietyofAppliedMechanics"
"1.1.3.1","NACA-TN-2796"
"1.1.3.1","NACA-TN-2801"
"1.1.3.1","NACA-TM-1351.Trans.fromAeronautical"
"1.1.3.1","ResearchInstitute.TokyoImperialUniv. NACA-TR-250."
"1.1.3.1","NACA-TN-2818"
"1.1.3.1","NACA-TN-2829"
"1.1.3.1","NACA-TN-2844"
"1.1.3.1","NACA-TN-2845"
"1.1.3.1","NACA-TN-2860"
"1.1.3.1","NACA-TN-2863"
"1.1.3.1","NACA-TN-2868"
"1.1.3.1","NACA-TN-2869"
"1.1.3.1","SpiralformigeBewegungenzaherFlusslgkeiten"
"1.1.3.1","NACA-TM-1342.Trans.fromDeutscheMathematiker-"
"1.1.3.1","NACA-TN-2891"
"1.1.3.1","NACA-TN-2892"
"1.1.3.1","NACA-TM-1349..Trans."
"1.1.3.1","NACA-TN-2916"
"1.1.3.1","NACARM-10RESEARCHMODEL"
"1.1.3.1","NACA-TN-2944"
"1.1.3.1","NACA-TN-2942"
"1.1.3.2","NACA-RM-L8J29"
"1.1.3.2","NACA-RM-L9K10"
"1.1.3.2","NACA-RM-L9H10"
"1.1.3.2","NACA-RM-L50C02a"
"1.1.3.2","NACA-TR-1030."
"1.1.3.2","NACA-TN-2133"
"1.1.3.2","NACA-TR-1046."
"1.1.3.2","NACA-TN-2158"
"1.1.3.2","NACA-TR-1053 NACA-TN-2123"
"1.1.3.2","NACA-TM-1291.Trans.from"
"1.1.3.2","NACA-TN-2431"
"1.1.3.2","NACA-TM-1313.Trans.fromZeitschriftfur"
"1.1.3.2","NACA-TN-2466"
"1.1.3.2","NACA-TN-2478"
"1.1.3.2","NACA-TN-2500"
"1.1.3.2","NACA-RM-A51G09"
"1.1.3.2","NACA-TN-2475"
"1.1.3.2","NACA-TM-1314."
"1.1.3.2","NACA-TN-2473"
"1.1.3.2","NACA-TN-2541"
"1.1.3.2","NACA-TN-2542"
"1.1.3.2","NACA-TN-2543"
"1.1.3.2","NACA-TM-1308.Trans.from"
"1.1.3.2","actions NACA-TR-279.1936.p.3-18"
"1.1.3.2","NACA-TM-1311.Trans.fromZentralefurwissen-"
"1.1.3.2","NACA-TN-2571"
"1.1.3.2","NACA-TR-1100 NACA-TN-2334"
"1.1.3.2","NACA-TN-2606"
"1.1.3.2","NACA-TN-2629"
"1.1.3.2","NACA-TN-2664"
"1.1.3.2","NACA-TN-2686"
"1.1.3.2","NACA-TN-2692"
"1.1.3.2","NACA-TN-2710"
"1.1.3.2","NACA-RM-E52D03"
"1.1.3.2","NACA-TM-1223.Trans.fromKoninklijkeNederlandsche"
"1.1.3.2","NACA-TM-1346.Trans.fromKoninklijkeNeder-"
"1.1.3.2","NACA-RM-E52F05"
"1.1.3.2","NACA-TN-2765"
"1.1.3.2","STUDYOFTHEPRESSURERISEACROSSSHOCK"
"1.1.3.2","NACA-TN-2770."
"1.1.3.2","NACA-TM-1343.Trans.from"
"1.1.3.2","NACA-TM-1352.TransfromSocietyofAppliedMechanics"
"1.1.3.2","NACA-TN-2801"
"1.1.3.2","NACA-TM-1351.Trans.fromAeronautical"
"1.1.3.2","ResearchInstitute.TokyoImperialUniv. NACA-TR-250."
"1.1.3.2","NACA-TN-2829"
"1.1.3.2","NACA-TN-2844"
"1.1.3.2","NACA-TN-2843"
"1.1.3.2","NACA-TN-2855"
"1.1.3.2","NACA-TN-2860"
"1.1.3.2","NACA-TN-2854"
"1.1.3.2","NACA-TN-2864"
"1.1.3.2","NACA-TN-2868"
"1.1.3.2","NACA-TN-2869"
"1.1.3.2","NACA-TN-2871"
"1.1.3.2","NACA-TN-2878"
"1.1.3.2","NACA-TN-2879"
"1.1.3.2","NACA-TM-1344.Trans.fromMax-"
"1.1.3.2","NACA-TN-2909"
"1.1.3.2","NACA-TN-2917"
"1.1.3.2","NACARM-10RESEARCHMODEL"
"1.1.3.2","NACA-TN-2944"
"1.1.3.2","NACA-RM-E53B17"
"1.1.3.3","NACA-RM-E9I21"
"1.1.3.3","NACA-RM-E9L01"
"1.1.3.3","NACA-TR-1040."
"1.1.3.3","NACA-TN-2124"
"1.1.3.3","NACA-TN-2379"
"1.1.3.3","NACA-TN-2417"
"1.1.3.3","NACA-TN-2466"
"1.1.3.3","NACA-TM-1311.Trans.fromZentralefurwissen-"
"1.1.3.3","NACA-TR-1100 NACA-TN-2334"
"1.1.3.3","NACA-TN-2701"
"1.1.3.3","NACA-TN-2757"
"1.1.3.3","NACA-TN-2855"
"1.1.3.3","NACA-TN-2887"
"1.1.3.3","NACA-TR-1032.NACA-TN-2244"
"1.1.3.3","NACA-TR-1055 NACA-RM-A8L28 NACA-TN-1975;"
"1.1.3.3","NACA-TN-2087 NACA-TN-2131 NACA-TN-2148"
"1.1.3.3","NACA-TN-2646"
"1.1.3.3","NACA-TN-2664"
"1.1.3.3","NACA-TN-2686"
"1.1.3.3","NACA-TN-2725"
"1.1.3.3","NACA-TN-2729"
"1.1.3.3","NACA-TN-2818"
"1.1.3.3","NACA-TN-2866"
"1.1.3.3","NACA-TN-2917"
"1.1.4.1","NACA-TN-2480"
"1.1.4.1","NACA-TN-2686"
"1.1.4.1","NACA-TN-2861"
"1.1.4.1","NACA-TN-2914"
"1.1.4.1","NACA-TN-2917"
"1.1.4.1","NACA-RM-E53A22"
"1.1.4.2","NACA-TR-1020."
"1.1.4.2","RM-E7L31 NACA-RM-E8L03 NACA-RM-E50E23;"
"1.1.4.2","NACA-TR-1040."
"1.1.4.2","NACA-TN-2124"
"1.1.4.2","NACA-TN-2479"
"1.1.4.2","NACA-TN-2480"
"1.1.4.2","NACA-TM-1274.Trans."
"1.1.4.2","NACA-TN-2499"
"1.1.4.2","NACA-TR-1066 NACA-TN-2321"
"1.1.4.2","NACA-TR-1093."
"1.1.4.2","NACA-TN-2438"
"1.1.4.2","NACA-TN-2597"
"1.1.4.2","NACA-TN-2599"
"1.1.4.2","NACA-RM-E51J29"
"1.1.4.2","NACA-TN-2635"
"1.1.4.2","NACA-RM-E51J30"
"1.1.4.2","NACA-TN-2664"
"1.1.4.2","NACA-TN-2686"
"1.1.4.2","NACA-TN-2703"
"1.1.4.2","NACA-TN-2733"
"1.1.4.2","NACA-TM-1223.Trans.fromKoninklijkeNederlandsche"
"1.1.4.2","NACA-TM-1346.Trans.fromKoninklijkeNeder-"
"1.1.4.2","NACA-TN-2800"
"1.1.4.2","NACA-TN-2799"
"1.1.4.2","NACA-TN-2836"
"1.1.4.2","NACA-TN-2843"
"1.1.4.2","NACA-TN-2863"
"1.1.4.2","NACA-TN-2895"
"1.1.4.2","NACA-TN-2916"
"1.1.4.2","NACA-TN-2917"
"1.1.4.2","NACA-TN-2942"
"1.1.4.3","NACA-TR-1020."
"1.1.4.3","RM-E7L31 NACA-RM-E8L03 NACA-RM-E50E23;"
"1.1.4.3","NACA-TN-2436"
"1.1.4.3","NACA-TN-2466"
"1.1.4.3","NACA-TN-2480"
"1.1.4.3","NACA-TN-2518."
"1.1.4.3","NACA-TN-2686"
"1.1.4.3","NACA-TN-2690"
"1.1.4.3","NACA-TN-2710"
"1.1.4.3","NACA-RM-E52D17"
"1.1.4.3","NACA-TN-2855"
"1.1.4.3","NACA-TN-2856"
"1.1.4.3","NACA-TN-2938"
