|ocrSubjNumT|,|ocrTitle|
|1.1|,|AERODYNAMIC MIXING DOWNSTREAM FROM LINE SOURCE OF HEAT IN HIGH -INTENSITY SOUND FIELD. William R. Mickelsen and Lionel V. Baldwin, August 1956. (ii), 75p. diagrs., photos. (NACA TN 3760) |
|1.1|,|CALCULATION OF THE FORCES AND MOMENTS ON A SLENDER FUSELAGE AND VERTICAL FIN PENETRATING LATERAL GUSTS. John M. Eggleston. October 1956. 20p. diagrs., tab. (NACA TN 3805) |
|1.1|,|INTERACTION OF MOVING SHOCKS AND HOT LAYERS. Robert V. Hess. May 1957. 65p. diagrs. (NACA TN 4002) |
|1.1.1|,|THEORETICAL ANALYSIS OF INCOMPRESSIBLE FLOW THROUGH A RADIAL-INLET CENTRIFUGAL IMPELLER AT VARIOUS WEIGHT FLOWS. James J. Kramer, Vastly D. Prian, and Chung -Hua Wu. 1956. ii, I6p. diagrs., tab. (NACA Rept. 1279. Supersedes TN 3448; TN 3449) |
|1.1.1|,|THEORETICAL AND EXPERIMENTAL INVESTIGA- TION OF THE SUBSONIC-FLOW FIELDS BENEATH SWEPT AND UNSWEPT WINGS WITH TABLES OF VORTEX-INDUCED VELOCITIES. William J. Alford, Jr. August 1956. 91p. diagrs., photo., tabs. (NACA TN 3738) |
|1.1.1|,|IMPINGEMENT OF DROPLETS IN. 60° ELBOWS WITH POTENTIAL FLOW. Paul T. Hacker, Paul G. Saper, and Charles F. Kadow. October 1956. 54p. diagrs., tabs. (NACA TN 3770) |
|1.1.1|,|RESULTS OF TWO FREE-FALL EXPERIMENTS ON FLUTTER OF THIN UNSWEPT WINGS IN THE TRANSONIC SPEED RANGE . William T. Lauten, Jr., and Herbert C. Nelson. January 1957. 2()p. diagrs., photo., tabs. (NACA TN 3902. Supersedes RM L51C08) |
|1.1.2|,|INITIAL FLUTTER TESTS IN THE LANG LEY TRAN- SONIC BLOWDOWN TUNNEL AND COMPARISON WITH FREE -FLIGHT FLUTTER RESULTS. WiUiam J. Bur snail. January 1953. 19p. diagrs., photos., tabs. (NACA RM L52K14) |
|1.1.2|,|FLIGHT -DETERMINED PRESSURE DISTRIBUTIONS OVER THE WING OF THE BELL X-1 RESEARCH AIRPLANE (10-PERCENT -THICK WING) AT SUB- SONIC AND TRANSONIC SPEEDS. Ronald J. Knapp andGareth H. Jordan. June 1953. 43p. diagrs., photo., tab. (NACA RM L53D20) |
|1.1.2|,|WING LOADS ON THE BELL X-1 RESEARCH AIR- PLANE (10-PERCENT -THICK WING) AS DETER- MINED BY PRESSURE -DISTRIBUTION MEASURE- MENTS IN FLIGHT AT SUBSONIC AND TRANSONIC SPEEDS. Ronald J. Knapp and Gareth H. Jordan. November 1953. 35p. diagrs., photo,, tab. (NACARM L53G14) |
|1.1.2|,|FUSELAGE PRESSURES MEASURED ON THE BELL X-1 RESEARCH AIRPLANE IN TRANSONIC FUGHT. Ronald J. Knapp, Gareth H. Jordan, and Wallace E. Johnson. November 1953. 21p. diagrs., photo. (NACARM L53I15) |
|1.1.2|,|EXPERIMENTAL FLUTTER INVESTIGATION OF A THIN UNSWEPT WING AT TRANSONIC SPEEDS. George L, Pratt. April 1955. 24p. diagrs., tabs. (NACARM L55A18) |
|1.1.2|,|SOME POSSIBILITIES OF USING GAS MIXTURES OTHER THAN AIR IN AERODYNAMIC RESEARCH. Dean R. Chapman. 1956. ii, 22p. diagrs., tabs. (NACA Rept. 1259. Supersedes TN 3226) |
|1.1.2|,|A THEORY FOR STABILITY AND BUZZ PULSATION AMPLITUDE IN RAM JETS AND AN EXPERIMEN- TAL INVESTIGATION INCLUDING SCALE EFFECTS. Robert L. Trlmpi. 1956. ii, 24p. diagrs., photos., tabs. (NACA Rept. 1265. Supersedes RM L53G28) |
|1.1.2|,|SIMILAR SOLUTIONS FOR THE COMPRESSIBLE LAMINAR BOUNDARY LAYER WITH HEAT TRANS- FER AND PRESSURE GRADIENT. Clarence B. Cohen and Eli Reshotko. 1956. 11, Z8p, diagrs., tabs. (NACA Rept. 1293. Supersedes TN 3325) |
|1.1.2|,|THE COMPRESSIBLE LAMINAR BOUNDARY LAYER WITH HEAT TRANSFER AND ARBITRARY PRES- SURE GRADIENT. Clarence B. Cohen and Eli Reshotko. 1956. ii, 16p. diagrs., tabs. (NACA Rept. 1294. Supersedes TN 3326) |
|1.1.2|,|AN ANALYSIS OF BUZZING IN SUPERSONIC RAM JETS BY A MODIFIED ONE -DIMENSIONAL NON- STATIONARY WAVE THEORY. Robert L. Trimpi. July 1956. 72p. diagrs., photos. (NACA TN 3695. Supersedes RM L52A18) |
