title,creatorsall,year,pp,id_hd,id_casi,id_repno,y,x,keywordsall,id_repno_all
"Analysis of Rocket, Ramjet, Turbojet Engines for Supersonic Propulsion of Long-Range Missiles 2:  Rocket Missile Performance","Huff, Vearl N. and Kerrebrock, Jack",1954,49,metadc53287,19730064633,NACA-RM-E54I29A,1954.0878929969142,0.5486001050309313,ballistic missiles missile propellants,NACA-RM-E54I29A
Flight Investigation of Boundary-Layer and Profile-Drag Characteristics of Smooth Wing Sections of a P-47D Airplane,"Zalovcik, John A.",1945,28,metadc53374,19780078667,NASA-TM-79861,1945.120411148553,0.874560451153674,P-47D boundary layer characteristics profile drag characteristics,NASA-TM-79861 NACA-ACR-L5H11A
"Investigation of Flow Coefficient of Circular, Square, and Elliptical Orifices at High Pressure Ratios","Callaghan, Edmund E. and Bowden, Dean T.",1949,25,metadc53525,19810068720,NACA-TN-1947,1949.7408423300724,0.36636291615798655,air-stream velocity jet flow,NACA-TN-1947
"Investigation of Effects of Various Camouflage Paints and Painting Procedures on the Drag Characteristics of an NACA 65(Sub 421)-420, a = 1.0 Airfoil Section","Braslow, Albert L.",1944,18,metadc53331,19780078530,NASA-TM-79829,1944.5168264079493,0.9034604891851075,aerodynamics drag characteristics,NASA-TM-79829 NACA-CB-L4G17 NACA-WR-L-141
Flight Investigation at High Speeds of Profile Drag of Wing of a P-47d Airplane Having Production Surfaces Covered With Camouflage Paint,"Zalovcik, John A. and Daum, Fred L.",1946,14,metadc53369,19780078576,NASA-TM-79832,1946.8372739759657,0.5536563200547098,P-47D profile drag,NASA-TM-79832 NACA-ACR-L6B21
Operation of an Experimental Air-Cooled Turbojet Engine at Turbine-Inlet Temperatures From 2200 R to 2935 R,"Cochran, Reeves P. and Dengler, Robert P. and Esgar, Jack B.",1956,25,metadc53197,19710065525,NACA-RM-E56D24A,1956.180459953203,0.8622404808103467,turbojet engines aircraft combustors turbine stators,NACA-RM-E56D24A
NACA Conference on High-Speed Aerodynamics: A Compilation of Papers Presented,NACA Conference on High-Speed Aerodynamics,1958,637,metadc53243,19710069971,NACA-TM-X-67369,1958.8680515802498,0.253082999467211,aircraft research aircraft design aircraft performance,NACA-TM-X-67369
NACA Conference on Engine Stall and Surge,NACA Conference on Engine Stall and Surge,1955,108,metadc53311,19740079175,NACA-TM-X-67600,1955.9485179900844,0.04228703087108754,aircraft engines engine stall,NACA-TM-X-67600
A New Dynamometer Brake,"Segrè, Marco",1921,20,metadc53643,19930080762,NACA-TM-44,1921.3356548117924,0.1165136670630974,dynamometer brakes aircraft power,NACA-TM-44
Natural Icing of an Axial-Flow Turbojet Engine in Flight for a Single Icing Condition,"Acker, Loren W.",1948,16,metadc53462,19810068628,NACA-RM-E8F01A,1948.1561030552866,0.20873376368001473,ice formations turbojet engines aircraft performance,NACA-RM-E8F01A
Preliminary Calculation of Cylinder Dimensions for Aircraft Engines,"Schwager, Otto",1921,8,metadc53638,19930080757,NACA-TM-38,1921.064871273781,0.19414714287284884,aircraft engines cylinder dimensions aircraft design,NACA-TM-38
Preliminary Analysis of Performance of Turbojet Engines Used as Pumps for Boundary-Layer Control,"Conrad, E. William",1955,21,metadc53371,19780078583,NASA-TM-79845,1955.8511392152743,0.1332446278122138,aircraft engines aircraft performance boundary layer control,NASA-TM-79845 NACA-RM-E55E20A
Dependence of Propeller Efficiency on Angle of Attack of Propeller Blade,"Borck, Hermann",1921,7,metadc53653,19930080772,NACA-TM-54,1921.6750339572484,0.9728576578728513,aircraft propellers propeller efficiency,NACA-TM-54
Flight Experiences and Tests on Two Airplanes With Suction Slots,Stüper,1950,104,metadc53590,19910073056,NACA-TM-1232,1950.354515118494,0.7683463176748663,lift characteristics aircraft wings,NACA-TM-1232
Flexible Petrol Pipe,,1921,2,metadc53629,19930080749,NACA-TM-31,1921.0319575100489,0.2753063054091416,flexible piping fuel systems,NACA-TM-31
High Altitude Performance Investigation of J65-B-3 Turbojet Engine With Both JP-4 and Gaseous Hydrogen Fuels,"Kaufman, Harold R.",1957,35,metadc53236,19710069801,NACA-RM-E57A11,1957.5069575178659,0.6953145492630345,J65-B-3 turbojet engines aircraft fuel,NACA-RM-E57A11
High Efficiency of Seaplanes,"Pegna, G.",1921,5,metadc53630,19930080750,NACA-TM-32,1921.020655097393,0.9472523456413072,seaplanes aircraft efficiency,NACA-TM-32
Interference Effects of Fuselage-Stored Missiles on Inlet Duct Model of an Interceptor-Type Aircraft at Mach Numbers 1.5 to 1.9,"Piercy, Thomas G. and Davis, Owen H.",1957,35,metadc53188,19710065513,NACA-RM-E57A11A,1957.3932781305168,0.12573995938902738,missiles interceptor-type aircraft,NACA-RM-E57A11A
Investigation of Three Low-Temperature-Ratio Combustor Configurations in a 48-Inch-Diameter Ram-Jet Engine,"Meyer, Carl L. and Weina, Harry J.",1954,41,metadc53173,19710065190,NACA-RM-E53K20,1954.1243553123095,0.6795467797591395,aircraft combustors ramjet engines,NACA-RM-E53K20
Investigation of Suction-Slot Shapes for Controlling a Turbulent Boundary Layer,"Pierpont, P. Kenneth",1947,29,metadc53342,19780078537,NACA-TN-1292,1947.3279514029814,0.2025595755441797,aircraft diffusers suction slots,NACA-TN-1292 NASA-TM-79866
A Method for Numerically Calculating the Area and Distribution of Water Impingement on the Leading Edge of an Airfoil in a Cloud,"Bergrun, Norman R.",1947,48,metadc53474,19810068678,NACA-TN-1397,1947.51659025877,0.34039696535998964,water droplet trajectory flow characteristics,NACA-TN-1397
Simple Graphical Solution of Heat Transfer and Evaporation From Surface Heated to Prevent Icing,"Gray, Vernon H.",1952,19,metadc53530,19810068723,NACA-TN-2799,1952.7537802518464,0.5436744969229382,ice prevention heat transfer characteristics,NACA-TN-2799
Simplified Method for Determination of Critical Height of Distributed Roughness Particles for Boundary-Layer Transition at Mach Numbers From 0 to 5,"Braslow, Albert L. and Knox, Eugene C.",1958,18,metadc53339,19780078534,NASA-TM-79828,1958.7398366868895,0.30979770227651027,roughness particles laminar boundary layers,NASA-TM-79828 NACA-TN-4363
A Simplified Instrument for Recording and Indicating Frequency and Intensity of Icing Conditions Encountered in Flight,"Perkins, Porter J. and McCullough, Stuart and Lewis, Ralph D.",1951,26,metadc53537,19810068729,NACA-RM-E51E16,1951.2361759729422,0.8632236484817543,icing conditions measuring instruments,NACA-RM-E51E16
Tests of the Northrop XB-62 Missile in the Ames 40- by 80-Foot Wind Tunnel,"Graham, David",1954,100,metadc53262,19710073557,NACA-RM-SA54I29,1954.6960610615347,0.9510808110894643,Northrop XB-62 missiles,NACA-RM-SA54I29
Tests of the Landing on Water of a Model of a High-Speed Airplane - Langley Tank Model 229,"King, Douglas A.",1947,25,metadc53125,19680071385,NASA-TM-X-61113,1947.2438291042104,0.7787558263735015,water landings hydrodynamics,NASA-TM-X-61113 NACA-RM-L7I05
De-Icing Effectiveness of External Electric Heaters for Propeller Blades,"Lewis, James P.",1948,95,metadc53450,19810068618,NACA-TN-1520,1948.4771728648811,0.29321012635627586,aircraft icing ice prevention,NACA-TN-1520
Icing Properties of Noncyclonic Winter Stratus Clouds,"Lewis, William",1947,12,metadc53551,19810068852,NACA-TN-1391,1947.3088167364858,0.5031319798737965,meteorology water droplets,NACA-TN-1391
Impingement of Water Droplets on a Rectangular Half Body in a Two-Dimensional Incompressible Flow Field,"Lewis, William and Brun, Rinaldo J.",1956,27,metadc53498,19810068695,NACA-TN-3658,1956.5686157500338,0.25099332243167527,water droplets droplet impingement,NACA-TN-3658
Impingement of Cloud Droplets on Aerodynamic Bodies as Affected by Compressibility of Air Flow Around the Body,"Brun, Rinaldo J. and Serafini, John S. and Gallagher, Helen M.",1953,20,metadc53484,19810068685,NACA-TN-2903,1953.5754206042404,0.9322463655484066,water droplets droplet impingement,NACA-TN-2903
Longitudinal Aerodynamic Characteristics to Large Angles of Attack of a Cruciform Missile Configuration at a Mach Number of 2,"Spahr, J. Richard",1954,51,metadc53175,19710065192,NACA-RM-A54H27,1954.1444222250338,0.9513145653743543,aerodynamics cruciform missiles lift characteristics,NACA-RM-A54H27
Relation of Turbojet Propulsion System Development to the Strategic Bomber Mission,"Rothrock, Addison M. and Cesaro, Richard S. and Walker, Curtis L.",1956,30,metadc53305,19730074323,NACA-RM-S56H07,1956.218899596076,0.7925086699503471,turbojet propulsion systems aircraft power,NACA-RM-S56H07
Problem of Landing,"Pistolesi, E.",1921,14,metadc53631,19930080751,NACA-TM-33,1921.61786054334,0.21441948454149695,aircraft landings landing gear,NACA-TM-33
Preliminary Results of Natural Icing of an Axial-Flow Turbojet Engine,"Acker, Loren W.",1948,16,metadc53464,19810068629,NACA-RM-E8C18,1948.726335377262,0.8649893423432989,icing conditions axial-flow turbojet engines,NACA-RM-E8C18
