ocrSubjNumR,tocNum,ocrRepNo,id_repno_all,id_hd,tocName,keywordsall
1,1,NACA-RM-E53B09,NACA-RM-E53B09,metadc59571,AERODYNAMICS,aircraft impellers flow characteristics
1.1,1.1,NACA-RM-A9I26,NACA-RM-A9I26,metadc58336,Fundamental Aerodynamics,aerodynamics drag coefficients
1.1,1.1,NACA-TN-3299,NACA-TN-3299,metadc57623,Fundamental Aerodynamics,pressure waves flow characteristics
1.1,1.1,NACA-RM-E51A26,NACA-RM-E51A26,metadc58881,Fundamental Aerodynamics,air bleeding aircraft drag
1.1,1.1,NACA-TN-3760,NACA-TN-3760,metadc56335,Fundamental Aerodynamics,aerodynamics heat
1.1,1.1,NACA-TN-3805,NACA-TN-3805,metadc56093,Fundamental Aerodynamics,frequency variations sinusoidal side gusts
1.1,1.1,NACA-TN-2969,NACA-TN-2969,metadc56633,Fundamental Aerodynamics,fluid mechanics and thermodynamics vaporization
1.1,1.1,NACA-TN-2641,NACA-TN-2641,metadc56430,Fundamental Aerodynamics,linearized supersonic flow vector studies
1.1,1.1,NACA-RM-E54I13,NACA-RM-E54I13,metadc60942,Fundamental Aerodynamics,pressure drag aircraft nozzles
1.1,1.1,NACA-RM-E55F07,NACA-RM-E55F07,metadc61428,Fundamental Aerodynamics,static pressure changes aluminum borohydride
1.1,1.1,NACA-TN-4204,NACA-TN-4204,metadc57011,Fundamental Aerodynamics,airfoils aerodynamics
1.1,1.1,NACA-TN-4150,NACA-TN-4150,metadc56742,Fundamental Aerodynamics,thermodynamics aerodynamics
1.1,1.1,NACA-TN-4276,NACA-TN-4276,metadc56983,Fundamental Aerodynamics,planetary atmospheres atmospheric entry ballistic entry
1.1,1.1,NACA-TN-4319,NACA-TN-4319,metadc57117,Fundamental Aerodynamics,channel flows compressibility effects
1.1,1.1,NACA-TN-3210,NACA-TN-3210,metadc57330,Fundamental Aerodynamics,triple collisions molecular vibrations
1.1,1.1,NACA-TN-3072,NACA-TN-3072,metadc56788,Fundamental Aerodynamics,aircraft tails aerodynamics
1.1,1.1,NACA-TN-3097,NACA-TN-3097,metadc56932,Fundamental Aerodynamics,skin-friction coefficients turbulent flow aerodynamics
1.1,1.1,NACA-TN-3071,NACA-TN-3071,metadc56783,Fundamental Aerodynamics,supersonic flow theory aircraft stability
1.1,1.1,NACA-TN-3558,NACA-TN-3558,metadc57701,Fundamental Aerodynamics,relaxation times heavy gases
1.1,1.1,NACA-TN-2903,NACA-TN-2903,metadc53484,Fundamental Aerodynamics,water droplets droplet impingement
1.1,1.1,NACA-TN-2694,NACA-TN-2694,metadc57229,Fundamental Aerodynamics,wind tunnel testing shock waves
1.1,1.1,NACA-TN-2656,NACA-TN-2656,metadc55919,Fundamental Aerodynamics,aircraft rotors blade-element analysis
1.1,1.1,NACA-TN-2541,NACA-TN-2541,metadc56265,Fundamental Aerodynamics,Von Kármán's theory similarity theory compressible flows
1.1,1.1,NACA-TN-2451,NACA-TN-2451,metadc55811,Fundamental Aerodynamics,Poisson integral airfoils velocity distributions
1.1,1.1,NACA-TN-2749,NACA-TN-2749,metadc56468,Fundamental Aerodynamics,analyses blades
1.1,1.1,NACA-TN-2461,NACA-TN-2461,metadc55820,Fundamental Aerodynamics,analyses sweptback wings
1.1,1.1,NACA-TN-2811,NACA-TN-2811,metadc56478,Fundamental Aerodynamics,supersonic flows aerodynamics
1.1,1.1,NACA-TN-2797,NACA-TN-2797,metadc56375,Fundamental Aerodynamics,shock waves aircraft diffusers
1.1,1.1,NACA-TN-2567,NACA-TN-2567,metadc55912,Fundamental Aerodynamics,skin friction aircraft skin
1.1,1.1,NACA-TN-2641,NACA-TN-2641,metadc56430,Fundamental Aerodynamics,linearized supersonic flow vector studies
1.1,1.1,NACA-TN-2630,NACA-TN-2630,metadc56346,Fundamental Aerodynamics,equations Navier-Stokes equation aerodynamics
1.1,1.1,NACA-TN-2537,NACA-TN-2537,metadc56229,Fundamental Aerodynamics,molecular vibrations sonic studies
1.1,1.1,NACA-TN-2533,NACA-TN-2533,metadc56206,Fundamental Aerodynamics,stall flutter airfoils flutter characteristics
1.1,1.1,NACA-TN-2473,NACA-TN-2473,metadc55822,Fundamental Aerodynamics,isotropic turbulence aircraft turbulence
1.1,1.1,NACA-TN-2501,NACA-TN-2501,metadc56232,Fundamental Aerodynamics,aerodynamics flow compressibility
1.1,1.1,NACA-TN-2443,NACA-TN-2443,metadc55898,Fundamental Aerodynamics,similarity law hypersonic flow
1.1,1.1,NACA-TN-2674,NACA-TN-2674,metadc56963,Fundamental Aerodynamics,aircraft wings aerodynamics
