title,creator,year,pp,id_hd,id_casi,id_repno,y,x,keywordsall,id_repno_all
"Analysis of Rocket, Ramjet, Turbojet Engines for Supersonic Propulsion of Long-Range Missiles 2:  Rocket Missile Performance","Huff, Vearl N.",1954,49,metadc53287,19730064633,NACA-RM-E54I29A,1954.17532049368,0.36138374297080156,ballistic missiles missile propellants,NACA-RM-E54I29A
Flight Investigation of Boundary-Layer and Profile-Drag Characteristics of Smooth Wing Sections of a P-47D Airplane,"Zalovcik, John A.",1945,28,metadc53374,19780078667,NASA-TM-79861,1945.0563094209244,0.29381580118662076,P-47D boundary layer characteristics profile drag characteristics,NASA-TM-79861 NACA-ACR-L5H11A
"Investigation of Flow Coefficient of Circular, Square, and Elliptical Orifices at High Pressure Ratios","Callaghan, Edmund E.",1949,25,metadc53525,19810068720,NACA-TN-1947,1949.3493374091736,0.5491331026003289,air-stream velocity jet flow,NACA-TN-1947
"Investigation of Effects of Various Camouflage Paints and Painting Procedures on the Drag Characteristics of an NACA 65(Sub 421)-420, a = 1.0 Airfoil Section","Braslow, Albert L.",1944,18,metadc53331,19780078530,NASA-TM-79829,1944.4858194012509,0.9574653862461029,aerodynamics drag characteristics,NASA-TM-79829 NACA-CB-L4G17 NACA-WR-L-141
Flight Investigation at High Speeds of Profile Drag of Wing of a P-47d Airplane Having Production Surfaces Covered With Camouflage Paint,"Zalovcik, John A.",1946,14,metadc53369,19780078576,NASA-TM-79832,1946.8843136023374,0.629706530253575,P-47D profile drag,NASA-TM-79832 NACA-ACR-L6B21
Operation of an Experimental Air-Cooled Turbojet Engine at Turbine-Inlet Temperatures From 2200 R to 2935 R,"Cochran, Reeves P.",1956,25,metadc53197,19710065525,NACA-RM-E56D24A,1956.0288159759941,0.9100623054197743,turbojet engines aircraft combustors turbine stators,NACA-RM-E56D24A
NACA Conference on High-Speed Aerodynamics: A Compilation of Papers Presented,NACA Conference on High-Speed Aerodynamics,1958,637,metadc53243,19710069971,NACA-TM-X-67369,1958.965435417045,0.13195143819270871,aircraft research aircraft design aircraft performance,NACA-TM-X-67369
NACA Conference on Engine Stall and Surge,NACA Conference on Engine Stall and Surge,1955,108,metadc53311,19740079175,NACA-TM-X-67600,1955.0301868630609,0.1493457688784663,aircraft engines engine stall,NACA-TM-X-67600
A New Dynamometer Brake,"Segrè, Marco",1921,20,metadc53643,19930080762,NACA-TM-44,1921.6404130185465,0.9611943122594209,dynamometer brakes aircraft power,NACA-TM-44
Natural Icing of an Axial-Flow Turbojet Engine in Flight for a Single Icing Condition,"Acker, Loren W.",1948,16,metadc53462,19810068628,NACA-RM-E8F01A,1948.3614570972127,0.8313703948015522,ice formations turbojet engines aircraft performance,NACA-RM-E8F01A
Preliminary Calculation of Cylinder Dimensions for Aircraft Engines,"Schwager, Otto",1921,8,metadc53638,19930080757,NACA-TM-38,1921.2897301414853,0.5606222117028745,aircraft engines cylinder dimensions aircraft design,NACA-TM-38
Preliminary Analysis of Performance of Turbojet Engines Used as Pumps for Boundary-Layer Control,"Conrad, E. William",1955,21,metadc53371,19780078583,NASA-TM-79845,1955.4433460555001,0.9073679396923713,aircraft engines aircraft performance boundary layer control,NASA-TM-79845 NACA-RM-E55E20A
Dependence of Propeller Efficiency on Angle of Attack of Propeller Blade,"Borck, Hermann",1921,7,metadc53653,19930080772,NACA-TM-54,1921.2225012111803,0.08339470177609587,aircraft propellers propeller efficiency,NACA-TM-54
Flight Experiences and Tests on Two Airplanes With Suction Slots,Stüper,1950,104,metadc53590,19910073056,NACA-TM-1232,1950.5742382438632,0.4683861159120205,lift characteristics aircraft wings,NACA-TM-1232
Flexible Petrol Pipe,,1921,2,metadc53629,19930080749,NACA-TM-31,1921.3759794172597,0.7496257551835541,flexible piping fuel systems,NACA-TM-31
